#{"t_start": 1759595817.413036, "env_id": "LunarLander-v3"}
r,l,t
-106.918957,94,0.082351
-138.201533,102,0.169309
-92.66286,69,0.234597
-277.890626,147,0.355799
-304.169269,98,0.437357
-110.542116,90,0.511979
-328.766971,124,0.62186
-142.527182,85,0.695566
-135.309554,86,0.763875
-107.829995,67,0.829825
-74.598147,95,0.911221
-38.972437,88,0.986005
-102.279675,71,1.040568
-349.253212,104,1.129081
-88.545101,109,1.225345
-49.248391,115,1.320934
-428.081285,108,1.415538
-146.924498,117,1.517448
-175.8081,109,1.60682
-0.853169,106,1.69513
-156.920142,145,1.822796
-87.753863,124,1.923289
-20.994732,86,1.998196
-165.812626,83,2.066348
-64.540117,120,2.168612
-16.666839,87,2.243759
-161.001197,148,2.374757
-152.318632,92,2.450307
-152.1824,83,2.519599
-158.304001,201,2.699567
-197.602695,111,2.789518
-174.001042,99,2.888091
-134.24191,86,2.96424
-56.266138,168,3.109831
-36.186882,295,3.359701
-101.404703,74,3.43271
-49.296134,157,3.578713
-85.880262,170,3.750375
-123.606603,87,3.829956
-64.814837,312,4.114969
-228.649124,256,4.338497
-31.346511,149,4.472143
-120.043504,130,4.584884
-194.62223,211,4.775363
-12.168488,116,4.878595
-112.404682,173,5.03369
-87.55485,141,5.153121
-28.319291,205,5.335426
-107.665817,225,5.533919
-176.324262,271,5.773476
-20.927916,138,5.893211
-217.08422,291,6.155393
-202.168026,318,6.433265
-40.37203,227,6.639815
-2.348312,223,6.839506
-228.179571,320,7.130608
-81.038412,543,7.6171
-59.524854,397,7.969748
-284.793593,268,8.213483
254.248582,428,8.594188
-208.699058,235,8.80917
196.562243,486,9.247779
-53.033558,208,9.4345
-263.226462,357,9.757792
4.081048,189,9.930293
11.721312,256,10.160646
-31.329025,238,10.37031
-187.721582,285,10.629774
230.410717,461,11.053231
-18.420172,230,11.255047
-161.840351,234,11.470436
-108.728185,311,11.744967
-220.940197,275,11.996986
-174.18568,234,12.205997
-29.087821,298,12.472949
-201.820872,331,12.7754
-27.326223,331,13.076276
-62.512085,242,13.292699
-207.773598,266,13.534957
115.475215,1000,14.436071
-50.543801,281,14.688484
-45.629061,241,14.903395
-213.851785,240,15.126412
-144.980747,371,15.458861
218.52212,469,15.882994
243.404401,830,16.632865
-204.138036,284,16.884983
-7.806766,181,17.056228
3.647353,216,17.250743
-46.421469,221,17.445894
9.747396,236,17.661324
-148.232056,150,17.79929
-172.099434,220,17.995258
-174.538766,222,18.196104
6.133766,276,18.440858
17.867721,298,18.713998
-252.249167,357,19.037365
-54.218565,198,19.217756
41.443198,1000,20.118017
-147.763178,264,20.355524
-0.458543,297,20.622422
-200.576865,348,20.93673
30.891462,1000,21.841536
-24.229321,268,22.079364
-40.752328,239,22.294614
-21.034063,235,22.504428
-126.528604,242,22.726988
-131.493259,215,22.914967
223.802982,961,23.795612
-231.501253,325,24.083775
-97.812605,182,24.248785
-5.796905,374,24.586101
162.340697,814,25.320408
-17.0489,194,25.500627
56.372512,239,25.716747
-40.686581,192,25.888364
-61.217191,383,26.227472
-195.112635,249,26.456495
-66.994811,280,26.7346
-3.558074,283,26.987588
-9.10593,303,27.265775
-42.602134,296,27.530923
235.094759,790,28.2417
-155.05902,364,28.564322
-215.922758,444,28.971018
-165.23142,1000,29.877425
-176.614419,355,30.19394
-243.216603,555,30.691145
-172.35091,343,31.000272
-83.012736,656,31.596177
-24.306948,250,31.819749
-160.15389,236,32.035211
132.164881,1000,32.935153
31.924006,262,33.179387
-180.512286,311,33.460679
-140.78251,221,33.655548
-21.874155,249,33.879554
-50.566813,453,34.287873
-53.443229,339,34.589699
11.475467,227,34.79697
-171.26683,1000,35.695916
-251.392224,379,36.032331
244.485363,438,36.426533
-152.395777,1000,37.319208
-106.466107,1000,38.211941
-112.202592,1000,39.103746
89.755505,1000,40.006124
-133.181062,1000,40.999628
-17.57801,327,41.403815
-119.715819,1000,42.621702
-47.885501,477,43.142119
-99.552823,1000,44.26245
260.037151,410,44.697021
240.730964,898,45.651692
